Country,Happiness Score,Economy,SocialSupport,Health,Freedom,Generosity,GovernmentTrust
Finland,7.842,1.446,1.106,0.741,0.691,0.124,0.481
Denmark,7.62,1.502,1.108,0.763,0.686,0.208,0.485
Switzerland,7.571,1.566,1.079,0.816,0.653,0.204,0.413
Iceland,7.554,1.482,1.172,0.772,0.698,0.293,0.17
Netherlands,7.464,1.501,1.079,0.753,0.647,0.302,0.384
Norway,7.392,1.543,1.108,0.782,0.703,0.249,0.427
Sweden,7.363,1.478,1.062,0.763,0.685,0.244,0.448
Luxembourg,7.324,1.751,1.003,0.76,0.639,0.166,0.353
New Zealand,7.277,1.4,1.094,0.785,0.665,0.276,0.445
Austria,7.268,1.492,1.062,0.782,0.64,0.215,0.292
Australia,7.183,1.453,1.076,0.801,0.647,0.291,0.317
Israel,7.157,1.376,1.074,0.788,0.509,0.208,0.119
Germany,7.155,1.48,0.993,0.757,0.6,0.195,0.306
Canada,7.103,1.447,1.044,0.798,0.648,0.246,0.335
Ireland,7.085,1.644,1.092,0.753,0.606,0.238,0.367
Costa Rica,7.069,1.134,0.966,0.722,0.673,0.105,0.083
United Kingdom,7.064,1.423,1.062,0.757,0.58,0.34,0.306
Czech Republic,6.965,1.37,1.09,0.703,0.58,0.052,0.046
United States,6.951,1.533,1.03,0.621,0.554,0.252,0.154
Belgium,6.834,1.463,0.998,0.747,0.489,0.088,0.187
France,6.69,1.421,1.081,0.804,0.536,0.092,0.235
Bahrain,6.647,1.409,0.899,0.662,0.661,0.246,0.139
Malta,6.602,1.411,1.055,0.747,0.664,0.275,0.183
Taiwan,6.584,1.48,0.982,0.665,0.49,0.142,0.139
United Arab Emirates,6.561,1.555,0.86,0.594,0.67,0.236,0.223
Saudi Arabia,6.494,1.435,0.964,0.571,0.603,0.09,0.163
Spain,6.491,1.375,1.057,0.826,0.462,0.135,0.124
Italy,6.483,1.393,0.94,0.798,0.379,0.133,0.047
Slovenia,6.461,1.36,1.093,0.722,0.69,0.122,0.085
Guatemala,6.435,0.845,0.79,0.519,0.638,0.163,0.105
Uruguay,6.431,1.164,1.042,0.649,0.625,0.128,0.223
Singapore,6.377,1.695,1.019,0.897,0.664,0.176,0.547
Kosovo,6.372,0.937,0.807,0.483,0.593,0.356,0.014
Slovakia,6.331,1.304,1.066,0.653,0.468,0.107,0.018
Brazil,6.33,1.028,0.944,0.571,0.514,0.142,0.117
Mexico,6.317,1.126,0.83,0.634,0.585,0.092,0.089
Jamaica,6.309,0.891,0.932,0.599,0.618,0.099,0.035
Lithuania,6.255,1.35,1.065,0.612,0.476,0.056,0.073
Cyprus,6.223,1.377,0.765,0.801,0.464,0.178,0.061
Estonia,6.189,1.344,1.079,0.64,0.641,0.119,0.263
Panama,6.18,1.298,0.976,0.667,0.596,0.079,0.053
Uzbekistan,6.179,0.769,1.027,0.528,0.716,0.391,0.271
Chile,6.172,1.2,0.946,0.678,0.438,0.159,0.07
Poland,6.166,1.309,0.982,0.668,0.558,0.08,0.13
Kazakhstan,6.152,1.23,1.103,0.527,0.573,0.143,0.132
Romania,6.14,1.275,0.832,0.595,0.564,0.045,0.001
Kuwait,6.106,1.461,0.857,0.58,0.591,0.12,0.13
Serbia,6.078,1.101,0.924,0.634,0.482,0.189,0.066
El Salvador,6.061,0.845,0.675,0.565,0.615,0.116,0.16
Mauritius,6.049,1.178,0.996,0.574,0.59,0.153,0.096
Latvia,6.032,1.285,1.047,0.587,0.405,0.082,0.089
Colombia,6.012,1.021,0.866,0.615,0.554,0.1,0.063
Hungary,5.992,1.301,1.083,0.615,0.454,0.067,0.04
Thailand,5.985,1.107,0.957,0.596,0.611,0.375,0.028
Nicaragua,5.972,0.693,0.904,0.604,0.553,0.201,0.176
Japan,5.94,1.389,0.949,0.838,0.504,0.02,0.192
Argentina,5.929,1.162,0.98,0.646,0.544,0.069,0.067
Portugal,5.929,1.323,0.939,0.76,0.621,0.029,0.033
Honduras,5.919,0.703,0.787,0.593,0.578,0.241,0.083
Croatia,5.882,1.251,1.039,0.703,0.453,0.111,0.0
Philippines,5.88,0.853,0.828,0.426,0.651,0.125,0.126
South Korea,5.845,1.403,0.758,0.801,0.353,0.134,0.135
Peru,5.84,0.986,0.833,0.623,0.536,0.087,0.031
Bosnia and Herzegovina,5.813,1.032,0.919,0.618,0.395,0.261,0.005
Moldova,5.766,0.985,0.888,0.542,0.536,0.137,0.013
Ecuador,5.764,0.935,0.806,0.64,0.56,0.107,0.062
Kyrgyzstan,5.744,0.665,0.971,0.501,0.673,0.266,0.02
Greece,5.723,1.273,0.811,0.76,0.243,0.0,0.074
